Name,freq
Jaelyn,5
Brittnie,3
Tianna,3
Kazuto,2
Kaleb,1
Tiffany,6
Tadayoshi,1
Amelie,5
Lucia,1
Pilialoha,1
Loren,1
Ebony,1
Avalon,1
Elliana,3
Roberta,3
Reuben,1
Shigeru,2
Paris,6
Shana,31
Xavier,1
Mitzi,1
Jeannie,3
Asia,1
Daren,12
Rylie,1
Yoneko,1
Aukai,1
Tasha,5
Shaelyn,1
Jovan,1
Brendon,1
Elsie,3
Zack,8
Liliuokalani,1
Kristi,1
Radford,15
Gloria,1
Tokie,2
Nicholas,3
Margaret,1
Makayla,1
Kahekili,1
Clyde,1
Brandy,1
Juliana,1
Lyndon,1
Annette,5
Caden,1
Erica,37
Kelvin,3
Marina,2
Kristal,65
Raphael,1
Jace,1
Roger,1
Tanya,2
Elisha,1
Cash,1
Hollie,1
Darrell,1
Kim,5
Vaughn,2
King,1
Cayla,1
Jaxon,1
Virginia,1
Aleah,1
Doreen,3
Elizabeth,6
Reggie,1
Carla,1
Damien,1
Sandra,2
Duane,2
Abigail,1
Gerald,3
Kainoa,1
Junior,1
May,2
Iwao,49
Coby,2
Betty,1
Brandan,1
Azariah,2
Brynn,1
Monalisa,2
Fukuichi,3
Pam,1
Mikayla,1
Rodel,8
Katsuko,1
Rory,1
Izaiah,1
Shigeo,1
Rickie,7
Eleanor,1
Richard,2
Dominic,2
Destiny,2
Hisashi,4
Delphine,1
Toshiaki,1
Havika,3
Momoyo,1
Shaina,2
Johanna,1
Ingrid,1
Elena,1
Wendy,11
Bonifacio,30
Kasey,1
Georgiana,1
Kaeo,3
Blayne,2
Sienna,1
Latoya,1
Rosalind,1
Luann,1
Tomie,2
Brooklynn,1
Jarin,1
Lolita,1
Jade,1
Nathaniel,16
Kanoa,1
Mike,11
Maurice,1
Elisabeth,1
Midori,3
Alohi,1
Eloise,3
Kassandra,1
Elyse,8
Hanohano,3
Gladys,1
Carmen,15
Tre,2
Jonathan,1
Chanda,2
Makamae,2
Phillip,4
Walter,1
Stephanie,4
Adeline,1
Tomiko,5
Marilynn,1
Jude,1
Nobuichi,2
Gillian,2
Saige,1
Julius,1
Aurora,1
Cecil,2
Adonis,1
Kaholo,1
Kelley,2
Anuenue,2
Tahitoa,3
Shizuka,1
Maika,3
Elwood,1
Lynnette,1
Stanton,4
Chloe,3
Mateo,1
Brayden,2
Teresa,1
Jenifer,1
Kaden,1
Viliami,4
Jayvin,3
Mariah,1
Leanne,2
Haven,1
Koalii,1
Carina,2
Ashleigh,1
Karissa,1
Gideon,1
Atsushi,2
Matsuko,3
Paisley,1
Kanani,3
Sheila,1
Malie,2
Anthony,1
Debbie,11
Sonia,1
Crystal,1
Gianni,2
Jayne,1
Sadako,4
Keaka,1
Laakea,2
Shantell,3
Micheal,1
Makenna,1
Joey,2
Oshen,2
Gilbert,1
Aloiki,1
Michio,1
Elias,1
Lila,2
Jayna,1
Russel,1
Iokepa,2
Kaitlin,3
Roxanne,1
Devyn,1
Janell,1
Patty,1
Yoshiaki,2
Asha,2
Kellen,2
Mamoru,2
Mathilda,2
Anna,1
Shanelle,1
Angie,1
Nohea,6
Kobe,6
Koa,8
Jada,1
Debra,3
Dino,1
Sam,2
Alika,1
Austyn,1
Jacob,1
Drew,1
Kale,1
Maya,3
Marcia,1
Kai,1
Royal,2
Kathleen,11
Shania,1
Toshie,1
Star,12
Kahale,24
Maryjane,18
Isaac,1
Tammie,1
Christin,2
Toshiyuki,2
Madysen,1
Kanoelani,1
Miki,1
Eliza,1
Chanelle,1
Yoshiyuki,1
Nevaeh,3
Julie,2
Breanne,4
Alamea,1
Minerva,1
Scarlett,1
Coleen,1
Iolani,2
Masatoshi,4
Kazuo,2
Ellsworth,2
Malik,3
Shantelle,1
Niko,7
Mieko,5
Leroy,1
Ruby,1
Yuna,1
Peggy,2
Felicidad,1
Kara,1
Kasen,2
Devon,1
Pat,3
Lauren,1
Rebecca,1
Sandi,1
Darin,11
Banyan,1
Miranda,2
Alice,1
Deidre,2
Garret,1
Myron,1
Napua,1
Jolyn,2
Onaona,5
Chastity,1
Ryder,1
Siaosi,3
Chasen,3
Elise,2
Blake,1
Tami,1
Irene,4
Renee,1
Diana,1
Kaleo,2
Jase,4
Caroline,2
Chelsea,4
Barry,8
Johnathan,2
Tomio,4
Nakita,1
Kaelyn,1
Torao,2
Marion,2
Urijah,1
Janna,1
Rebekah,3
Darcie,2
Jaron,2
Miguel,1
Morris,691
Toyoko,1
Vickie,1
Koamalu,10
Greyson,1
Cyrus,6
Jermaine,1
Larry,1
June,3
Cortney,1
Taylorann,3
Harriet,7
Leeann,3
Sumiye,1
Rex,1
Kacey,1
Malie,2
Xander,3
Milton,1
Terrie,890
Romeo,1
Quintin,1
Chantelle,1
Punahele,1
